NASDAQ,S&P 500,James Tickers
A,MMM,qcom
AA,AOS,roku
AACG,ABT,gis
AACI,ABBV,adm
AACIU,ACN,spot
AACIW,ADBE,f
AACT,AMD,alb
AADI,AES,fslr
AAGR,AFL,ccj
AAGRW,A,cwen
AAL,APD,sedg
AAMC,ABNB,etr
AAME,AKAM,peg
AAN,ALB,qs
AAOI,ARE,frey
AAON,ALGN,mvst
AAP,ALLE,kdp
AAPL,LNT,mtch
AAT,ALL,lin
AB,GOOGL,pdd
ABAT,GOOG,asml
ABBV,MO,etn
ABCB,AMZN,cb
ABCL,AMCR,nxpi
ABEO,AEE,bmbl
ABEV,AAL,navi
ABG,AEP,slm
ABIO,AXP,omf
ABL,AIG,cacc
ABLLL,AMT,nni
ABLLW,AWK,bnd
ABLV,AMP,grnd
ABM,AME,bac
ABNB,AMGN,cvx
ABOS,APH,uri
ABR,ADI,sam
ABR^D,ANSS,cat
ABR^E,AON,pep
ABR^F,APA,nke
ABSI,AAPL,ramp
ABT,AMAT,net
ABTS,APTV,anet
ABUS,ACGL,nclh
ABVC,ADM,nvr
ABVE,ANET,cmcsa
ABVEW,AJG,stz
ABVX,AIZ,gs
AC,T,wba
ACA,ATO,uhs
ACAB,ADSK,sbux
ACAC,ADP,dxcm
ACAD,AZO,ge
ACB,AVB,ccl
ACCD,AVY,dow
ACCO,AXON,glw
ACDC,BKR,czr
ACEL,BALL,xray
ACET,BAC,cprt
ACGL,BK,slb
ACGLN,BBWI,hwm
ACGLO,BAX,tgt
ACHC,BDX,dish
ACHL,BRK.B,mara
ACHR,BBY,orcl
ACHV,BIO,ba
ACI,TECH,nwsa
ACIC,BIIB,app
ACIU,BLK,trv
ACIW,BX,tap
ACLS,BA,deo
ACLX,BKNG,nflx
ACM,BWA,on
ACMR,BSX,kr
ACN,BMY,noc
ACNB,AVGO,wu
ACNT,BR,mpwr
ACON,BRO,ezpw
ACONW,BF.B,bkng
ACP,BLDR,txn
ACP^A,BG,khc
ACR,BXP,dltr
ACR^C,CDNS,fcx
ACR^D,CZR,gm
ACRE,CPT,vz
ACRS,CPB,riot
ACRV,COF,jnj
ACST,CAH,intc
ACT,KMX,shel
ACTG,CCL,vrt
ACU,CARR,acgl
ACV,CTLT,hal
ACVA,CAT,hsy
ACXP,CBOE,mdlz
ADAG,CBRE,snap
ADAP,CDW,unh
ADBE,CE,amzn
ADC,COR,ibm
ADC^A,CNC,amgn
ADCT,CNP,mo
ADD,CF,upst
ADEA,CHRW,nvda
ADI,CRL,ko
ADIL,SCHW,t
ADM,CHTR,rtx
ADMA,CVX,amd
ADN,CMG,rio
ADNT,CB,lrcx
ADNWW,CHD,pypl
ADP,CI,aapl
ADPT,CINF,game
ADRT,CTAS,crm
ADSE,CSCO,ph
ADSEW,C,adbe
ADSK,CFG,xom
ADT,CLX,pfe
ADTN,CME,mgpi
ADTX,CMS,pltr
ADUS,KO,mcd
ADV,CTSH,bk
ADVM,CL,gd
ADVWW,CMCSA,aal
ADX,CAG,swbi
ADXN,COP,sjm
AE,ED,nyt
AEAE,STZ,chk
AEE,CEG,regn
AEF,COO,bbio
AEFC,CPRT,amat
AEG,GLW,ftnt
AEHL,CPAY,pcg
AEHR,CTVA,acn
AEI,CSGP,x
AEIS,COST,v
AEM,CTRA,wynn
AEMD,CRWD,jpm
AENT,CCI,avgo
AENTW,CSX,dd
AEO,CMI,dis
AEON,CVS,pzza
AEP,DHR,blk
AER,DRI,wbd
AERT,DVA,uhal
AES,DAY,ipg
AESI,DECK,mpc
AEVA,DE,sofi
AEYE,DAL,axp
AEZS,DVN,msft
AFAR,DXCM,meta
AFARU,FANG,googl
AFARW,DLR,wvvi
AFB,DFS,lmt
AFBI,DG,k
AFCG,DLTR,tsco
AFG,D,bb
AFGB,DPZ,dal
AFGC,DOV,lyft
AFGD,DOW,hon
AFGE,DHI,carr
AFJK,DTE,bp
AFJKU,DUK,pg
AFL,DD,mmm
AFMD,EMN,psa
AFRI,ETN,lly
AFRIW,EBAY,dg
AFRM,ECL,rcl
AFT,EIX,mrk
AFYA,EW,spce
AG,EA,wmt
AGAE,ELV,ual
AGBA,LLY,pwr
AGBAW,EMR,odfl
AGCO,ENPH,hd
AGD,ETR,sony
AGEN,EOG,pm
AGFY,EPAM,wdc
AGI,EQT,tsla
AGIO,EFX,aa
AGL,EQIX,fox
AGM,EQR,uber
AGM^C,ESS,fico
AGM^D,EL,vale
AGM^E,ETSY,gild
AGM^F,EG,mgm
AGM^G,EVRG,usb
AGMH,ES,bsx
AGNC,EXC,fcfs
AGNCL,EXPE,csco
AGNCM,EXPD,dhi
AGNCN,EXR,bhp
AGNCO,XOM,lvs
AGNCP,FFIV,bud
AGO,FDS,para
AGR,FICO,ntdoy
AGRI,FAST,hmc
AGRIW,FRT,tsm
AGRO,FDX,sq
AGS,FIS,tm
AGX,FITB,ulta
AGYS,FSLR,spgi
AHCO,FE,pso
AHG,FI,race
AHH,FMC,yum
AHH^A,F,bti
AHL^C,FTNT,ryaay
AHL^D,FTV,td
AHL^E,FOXA,azn
AHR,FOX,nvs
AHT,BEN,nvo
AHT^D,FCX,sco
AHT^F,GRMN,elf
AHT^G,IT,py
AHT^H,GE,bwg
AHT^I,GEHC,drd
AI,GEV,kos
AIEV,GEN,mixt
AIF,GNRC,ssl
AIG,GD,hmy
AIHS,GIS,ihs
AILE,GM,sbsw
AILEW,GPC,ypf
AIM,GILD,vist
AIMAU,GPN,tgs
AIMD,GL,tx
AIMDW,GDDY,ts
AIN,GS,teo
AINC,HAL,pam
AIO,HIG,meli
AIOT,HAS,loma
AIP,HCA,ggal
AIR,DOC,desp
AIRE,HSIC,bbva
AIRG,HSY,bma
AIRI,HES,wit
AIRJ,HPE,wns
AIRJW,HLT,hdb
AIRS,HOLX,mmyt
AIRT,HD,sify
AIRTP,HON,rdy
AISP,HRL,ibn
AISPW,HST,infy
AIT,HWM,kb
AITR,HPQ,lpl
AITRU,HUBB,pkx
AIU,HUM,skm
AIV,HBAN,teva
AIXI,HII,icl
